time,open,high,low,close,Volume,ATR
1698863400,353.94,355.22,353.94,355.12,261116,0.5660761734202931
1698863700,355.12,355.45,353.71,354.07,424422,0.6499278753188443
1698864000,354.07,354.25,352.62,353.16,365505,0.7199330270817837
1698864300,353.15,353.82,352.65,353.39,324939,0.7520806680045146
1698864600,353.35,354.34,353.29,353.88,282574,0.7733606202899032
1698864900,353.91,355.43,353.91,355.05,235842,0.828834861697768
1698865200,355.08,356.34,355.04,355.89,351326,0.8624895144336385
1698865500,355.92,356.22,355.53,356.08,199884,0.8501688348312397
1698865800,356.07,356.74,355.77,355.85,291170,0.8587282037718674
1698866100,355.86,356.45,355.74,356.27,137713,0.848104760645304
1698866400,356.29,357.04,356.11,357.03,276121,0.8539544205992113
1698866700,357.035,357.225,356.45,356.8,178725,0.8483148191278416
1698867000,356.78,357.47,356.65,357.22,317516,0.846292332047285
1698867300,357.22,357.43,357.07,357.2,115230,0.8115571654724799
1698867600,357.19,357.23,356.83,357.05,147564,0.7821602250815909
1698867900,357.045,357.4,356.97,357.32,163071,0.757005923290045
1698868200,357.36,357.44,356.85,357.19,274131,0.7450769287693257
1698868500,357.19,357.525,357.04,357.09,437706,0.7265000052857994
1698931800,361.54,361.96,361.14,361.34,309756,1.0224642906225283
1698932100,361.36,362.15,361.26,362.13,165653,1.013002555578061
1698932400,362.14,362.3,361.71,361.89,305654,0.9827880873224876
1698932700,361.875,361.92,361.06,361.58,241180,0.9740175096565966
1698933000,361.6,361.72,361.24,361.26,185684,0.9387305446811267
1698933300,361.27,361.69,361.2,361.43,97676,0.9066783629181898
1698933600,361.43,361.82,361.22,361.29,111520,0.8847727655668881
1698933900,361.35,361.41,360.7,360.87,100566,0.8722889965978273
1698934200,360.85,360.91,360.3,360.55,166157,0.853554068269412
1698934500,360.58,361.029,360.44,360.99,103618,0.834657349107311
1698934800,360.97,361.33,360.91,360.97,77090,0.8050389670282144
1698935100,360.935,361.9,360.93,361.73,147729,0.8168218979547684
1698935400,361.73,361.81,361.34,361.465,91414,0.7920489052437155
1698935700,361.48,362.03,361.31,361.99,94852,0.7869025548691624
1698936000,361.98,362.21,361.935,362.1,104033,0.7503380866642206
1698936300,362.11,362.16,361.91,362.1,73451,0.7145996519024906
1698936600,362.11,362.61,362.03,362.35,92013,0.7049853910523156
1698936900,362.37,362.6,362.33,362.47,76822,0.6739150059771529
1698937200,362.475,362.71,362.07,362.57,147929,0.6714925055502124
1698937500,362.58,362.76,362.3,362.4,97860,0.6563858980109101
1698937800,362.36,362.55,362.15,362.17,121775,0.6380726195815617
1698938100,362.15,362.39,361.78,362.38,183913,0.636067432468594
1698938400,362.35,362.49,362.13,362.42,104576,0.6163483301494096
1698938700,362.39,362.47,361.98,362.02,93989,0.6073234494244524
1698939000,362.03,362.22,361.8,362.19,99491,0.5939432030369927
1698939300,362.2,362.54,362.13,362.37,104751,0.5808044028200664
1698939600,362.38,362.51,362.24,362.3,62556,0.5586040883329175
1698939900,362.31,362.42,362.04,362.07,57212,0.5458466534519946
1698940200,362.13,362.35,361.77,361.89,78671,0.5482861782054265
1698940500,361.88,362.03,361.71,362.01,51189,0.5319800226193241
1698940800,362.02,362.08,361.82,361.94,30087,0.5125528781465146
1698941100,361.99,362.11,361.68,361.85,53784,0.5066562439931926
1698941400,361.87,362.16,361.76,362.03,39647,0.4990379408508242
1698941700,362.06,362.075,361.6,362.03,46779,0.49732094507576285
1698942000,362.02,362.07,361.83,362.01,35147,0.4789408775703519
1698942300,362.01,362.14,361.69,362.01,63443,0.47687367202961173
1698942600,362.04,362.15,361.8,362.08,40187,0.467811266884637
1698942900,362.1,362.49,362.07,362.45,52711,0.46439617639287833
1698943200,362.429,362.55,362.31,362.45,40347,0.44836787807910194
1698943500,362.46,362.62,362.36,362.49,43325,0.4349130296448797
1698943800,362.52,362.66,362.42,362.54,82990,0.4209906703845318
1698944100,362.57,362.7,362.24,362.32,101295,0.4237770510713495
1698944400,362.33,362.4,362.09,362.29,80301,0.41565011885196756
1698944700,362.29,362.68,362.28,362.67,39446,0.41453225321968656
1698945000,362.65,362.88,362.63,362.85,86881,0.4027799494182804
1698945300,362.865,363.02,362.771,362.87,84009,0.3917956673169723
1698945600,362.87,362.94,362.77,362.84,45190,0.37595311965147543
1698945900,362.83,362.87,362.59,362.79,61238,0.3690993253906579
1698946200,362.8,363.2,362.8,363.155,98457,0.3720208021484658
1698946500,363.15,363.18,362.91,363.17,72225,0.3647336019950026
1698946800,363.16,363.16,362.97,363.1,53415,0.3529669161382159
1698947100,363.105,363.22,362.99,363.07,52948,0.34418356498548747
1698947400,363.05,363.32,363.02,363.28,58524,0.34102759605795346
1698947700,363.28,363.46,363.15,363.28,105996,0.3388113391966713
1698948000,363.31,363.32,363.02,363.16,37573,0.3360391006826241
1698948300,363.17,363.3,363.05,363.15,45631,0.3298934506338652
1698948600,363.16,363.19,362.9,363.13,86879,0.32704391844573344
1698948900,363.15,363.33,363.13,363.26,39383,0.31796935284246597
1698949200,363.26,363.37,363.15,363.37,34292,0.3109715419251489
1698949500,363.35,363.38,363.24,363.29,37788,0.29875928893049447
1698949800,363.29,363.34,363.11,363.17,29708,0.2938479111497421
1698950100,363.18,363.42,363.18,363.3,40555,0.29071591749618914
1698950400,363.31,363.61,363.27,363.5,52940,0.2942362091036065
1698950700,363.5,363.55,363.21,363.34,60083,0.29750505131049404
1698951000,363.35,363.43,363.19,363.38,34198,0.2933975476454594
1698951300,363.39,363.48,363.22,363.43,39398,0.2910120085279259
1698951600,363.41,363.45,363.14,363.29,70981,0.2923682936330742
1698951900,363.295,363.57,363.28,363.52,57892,0.29219912980214185
1698952200,363.49,363.6,363.45,363.59,62576,0.2820420491019913
1698952500,363.59,363.65,363.42,363.52,56050,0.27832475988041777
1698952800,363.51,363.54,363.33,363.38,59485,0.27344441988896195
1698953100,363.37,363.45,363.29,363.29,53655,0.2653412470397481
1698953400,363.3,363.44,363.24,363.36,72741,0.2606740151083367
